Country,ISO,lts_submission,lts_submission_label,lts_document,lts_date,lts_vision,lts_target,lts_target_label,lts_zero,lts_zero_label,lts_m_temp,lts_m_temp_label,lts_m_tt,lts_m_tt_label,lts_m_taryr,lts_m_taryr_label,lts_m_taryr_emi,lts_a_otc,lts_a_otc_label,lts_crbn_rmvl,lts_crbn_rmvl_label,lts_ghg
Germany,DEU,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/Klimaschutzplan_2050_eng_bf.pdf"">Climate Action Plan 2050</a>; <a href=""https://unfccc.int/sites/default/files/resource/Anlage%202_Update%20to%20the%20long-term%20strategy%20for%20climate%20action%20of%20the%20Federal%20Republic%20of%20Germany_02Nov2022_0.pdf"">Update to the long-term strategy for climate action of the Federal Republic of Germany</a> (11/2/22)",11/17/2016,"“This strategy must also take economic and social concerns into account: economic concerns because ultimately only economic success will make climate action an attractive proposition worldwide, and social concerns because one of the principles of climate action on a national as well as international level is that ‘strong shoulders must carry more than weaker ones.’”; ""Germany has committed to becoming greenhouse gas neutral by 2045. After 2050, the greenhouse gas balance is to be negative."" (per 2022 addendum)",Net-zero emissions by 2045 (per 2022 addendum),Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Pursuing the target will make an appropriate contribution to implementing the commitment made in Paris, also with a view to the goal set out in the Paris Agreement of achieving global greenhouse gas neutrality in the second half of the century.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2045 (per 2022 addendum),Other Target Year in LTS,Net-zero carbon emissions,"""The Paris Agreement also enshrines for the first time the goal, now binding under international law, of strengthening resilience and reducing vulnerability to climate change and making finance flows consistent with a pathway towards low greenhouse gas emissions and climate-resistant development, which is also the intention of [this LTS].""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Undecided in LTS,Intention to Use Technological Carbon Removal Undecided in LTS,1.43%
Latvia,LVA,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/LTS1_Latvia.pdf"">Strategy of Latvia for the Achievement of Climate Neutrality by 2050</a>",12/9/2020,"“The Strategy is a long-term policy planning document which has been developed to increase the economic competitiveness of [the] Latvian national economy, as well as to ensure a safe living environment for inhabitants of Latvia concurrently with the restriction and mitigation of climate change.”",Climate neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Within the context of international policy, [this LTS] has been developed to promote the fulfilment of GHG emission reduction commitments in accordance with the Paris Agreement in a cost-efficient manner…""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Net-zero carbon emissions,"""The [LTS] is a long-term strategic document to be introduced by horizontal integration of the GHG and climate resilience goals in all sectors of [the] national economy.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.02%
Marshall Islands,MHL,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/180924%20rmi%202050%20climate%20strategy%20final_0.pdf"">Tile Til Eo - 2050 Climate Strategy ""Lighting the way""</a>",9/25/2018,"“The purpose of this 2050 Climate Strategy—which is [the Republic of the Marshall Island’s] long-term low greenhouse gas emission climate-resilient development strategy under the Paris Agreement—is to outline a long-term pathway for RMI to achieve its objectives for net zero emissions and 100% renewable energy, as well as to facilitate adaptation and climate resilience in a way that ensures the future protection and prosperity of the country and its women, men and youth."" ",Net-zero emissions by no later than 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Having a 2050 Strategy also helps RMI deliver on its commitments under the Paris Agreement. """,Paris Agreement Temperature Goal Mentioned in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Net-zero carbon emissions,"""RMI should set out a vision for adaptation and climate resilience, incorporating milestones to be achieved, for example by 2020, 2025, 2030 and 2050 – as well as suggested measures to achieve them. Prioritization will be critical to attract necessary private, public and international funding to implement policies, and in a way that is consistent with RMI’s strategic interests.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.00%
Mexico,MEX,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/files/focus/long-term_strategies/application/pdf/mexico_mcs_final_cop22nov16_red.pdf"">Mexico’s Climate Change Mid-Century Strategy</a>",11/16/2016,"“Mexico’s mid-century climate change strategy provides the vision, principles, goals, and main lines of action to build a climate resilient society and transition towards a low emissions development.""",50% reduction from 2000 levels by 2050,Quantified Long-term Emissions Goal Included in LTS,No Net-zero Target Included in LTS,No Net-zero Target Included in LTS,"""As recognized in the Paris agreement, in order to reach the long-term temperature goal, global emissions must peak as soon as possible and rapid reductions must be undertaken thereafter. As of today, the aggregate effect of the intended nationally determined contributions is insufficient to reach our climate goals...Thus, we must provide more ambition, and communicate our future plans to encourage more adaptation and mitigation action. We believe that the submissions of MCS could assist our common goals, by helping us foresee the unfolding low-carbon world.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Base Year Target in LTS,Base Year Target in LTS,2050,2050 as Target Year in LTS,Not Specified,"""The adaptation section describes the objective of reducing the vulnerability of the populations and the productive sectors, as well as to preserve and protect ecosystems and environmental services, and increase resistance of the strategic infrastructure to the adverse impacts of climate change.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,1.28%
Netherlands,NLD,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/LTS1_Netherlands.pdf"">Long term strategy on climate mitigation</a>",12/11/2020,"“The Climate Agreement emphatically targets an integrated approach to the climate challenge. The measures to be taken for the sectors depart from a vision of the future that encompasses more than CO2 reduction alone. It is specifically linked to the transitions towards circular agriculture and a circular economy. Spatial integration, support and participation have been important considerations in the discussions about the measures to be taken. The wider social and economic perspective was also considered, in both the narrow and the broad sense.”",95% reduction from 1990 levels by 2050,Quantified Long-term Emissions Goal Included in LTS,No Net-zero Target Included in LTS,No Net-zero Target Included in LTS,"""The Netherlands is a party to the global framework convention on climate change (the United Nations Framework Convention on Climate Change) and the Paris Agreement. As such, it supports the global targets to limit global warming to well below 2 °C, strive for a maximum of 1.5 °C and achieve a balance between greenhouse gas emissions and the storage of CO2 from the atmosphere on earth, in the second half of this century.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Base Year Target in LTS,Base Year Target in LTS,2050,2050 as Target Year in LTS,Not Specified,The Netherlands' goals for adaptation and resiliency are outlined in the country's National Climate Adaptation Strategy (NAS) 2016 and the NAS Implementation Programme.,LTS Refers to Resiliency Goals in Separate Plan,Intention to Use Technological Carbon Removal Communicated in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,0.34%
Norway,NOR,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/LTS1_Norway_Oct2020.pdf"">Norway’s long-term low-emission strategy for 2050</a>",11/25/2020,"“[The LTS envisions a] low-emission society as one where greenhouse gas emissions, on the basis of the best available scientific knowledge, global emission trends and national circumstances, have been reduced in order to avert adverse impacts of global warming, as described in the Paris Agreement.""",80-95% reduction from 1990 levels by 2050,Quantified Long-term Emissions Goal Included in LTS,No Net-zero Target Included in LTS,No Net-zero Target Included in LTS,"Norway's LTS outlines a vision for ""a low-emission society...where greenhouse gas emissions, on the basis of the best available scientific knowledge, global emission trends and national circumstances, have been reduced in order to avert adverse impacts of global warming, as described in the Paris Agreement.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Base Year Target in LTS,Base Year Target in LTS,2050,2050 as Target Year in LTS,Not Specified,"""The Government will give priority to developing technology and solutions for the transition to a greener society, strengthen research and higher education that can increase understanding of climate change and lay a foundation for successful climate change adaptation, and strengthen research and higher education to further develop an integrated, knowledge-based public administration that safeguards considerations relating to climate and the environment.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,Intention to Use Technological Carbon Removal Communicated in LTS,0.07%
Portugal,PRT,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/RNC2050_EN_PT%20Long%20Term%20Strategy.pdf"">Portugal's National Long Term GHG Development Strategy</a>",9/20/2019,"“Achievement of the objective of carbon neutrality in 2050 is based on a strategic vision aimed at promoting decarbonisation of the economy and the energy transition towards carbon neutrality by 2050, as an opportunity for the country, based on a democratic and fair model of national cohesion that enhances the generation of wealth and the efficient use of resources.”",Carbon neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target included in LTS,Net-zero Target Included in LTS,"""In 2016, the government made a commitment to achieve carbon neutrality by 2050, outlining a clear vision on decarbonisation of the national economy and contributing to the most ambitious objectives under the Paris Agreement.""",Paris Agreement Temperature Goal Mentioned in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Carbon neutrality,"""Realization of this strategic vision rests on key premises, [including]... contribut[ing] to resilience and the national capacity to adapt to climate change vulnerabilities and impacts.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.12%
Singapore,SGP,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/SingaporeLongtermlowemissionsdevelopmentstrategy.pdf"">Charting Singapore's Low Carbon and and Climate Resilient Future</a>; <a href=""https://unfccc.int/sites/default/files/resource/Addendum%20to%20Singapore%27s%20Long-Term%20Low-Emissions%20Development%20Strategy.pdf""> Addendum to Singapore's Long-Term Low-Emissions Development Strategy</a> (11/3/22) ",3/31/2020,"“[The LTS] aims to facilitate long-term action to address the effects of climate change and to enable a well-managed transition to a low-carbon economy, while growing new sectors of our economy and creating jobs and opportunities.""",Net-zero emissions by 2050 (per 2022 addendum) ,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target Included in LTS,Net-zero Target Included in LTS,"""Along with the rest of the global community, Singapore will play our part to reduce emissions in support of the long-term temperature goal of the Paris Agreement.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050 (per 2022 addendum),2050 as Target Year in LTS,Net-zero emissions (per 2022 addendum),"""Extreme climate conditions are likely to become more intense and frequent in Singapore in [the] future. Singapore is hence systematically building up climate science capabilities and preparing long-term infrastructure adaptation plans to address our physical vulnerabilities [to] climate change.""",Goals for Resiliency Mentioned in LTS,Intention to Use Technological Carbon Removal Undecided in LTS,Intention to Use Technological Carbon Removal Undecided in LTS,0.14%
Slovakia,SVK,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/LTS%20SK%20eng.pdf"">Low-Carbon Development Strategy of the Slovak Republic until 2030 with a View to 2050</a>",3/30/2020,"“The aim is to outline options for a comprehensive long-term (30-year) strategic roadmap for moving to a low-carbon economy, which will be completed by achieving climate neutrality by 2050.”",Climate neutrality by 2050,Quantified Long-term Emissions Goal Included in LTS,Net-zero Target included in LTS,Net-zero Target Included in LTS,"""The Strategy identifies key policies and measures that will lead to achieving the headline target of the Paris Agreement – keeping the increase in global temperature this century to well below 2°C and pursuing efforts to limit the temperature increase to 1.5°C above pre-industrial levels.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Fixed Level Target in LTS,Fixed Level Target in LTS,2050,2050 as Target Year in LTS,Net-zero carbon emissions,"Slovakia's goals for adaptation and resiliency are outlined in the country's Adaptation Strategy of the Slovak Republic on Adverse Impacts of Climate Change, a domestic policy plan.",LTS Refers to Resiliency Goals in Separate Plan,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,0.07%
South Africa,ZAF,Long-term Strategy Submitted,Long-term Strategy Submitted,"<a href=""https://unfccc.int/sites/default/files/resource/South%20Africa%27s%20Low%20Emission%20Development%20Strategy.pdf"">South Africa's Low Emission Development Strategy</a>",9/23/2020,"“South Africa follows a low-carbon growth trajectory while making a fair contribution to the global effort to limit the average temperature increase, while ensuring a just transition and building of the country's resilience to climate change.”","“According to South Africa’s LTS, “in the absence of an agreed quantitative articulation of the vision, the national GHG emissions trajectory, as reflected in the National Climate Change Response Policy . . . is used as the benchmark against which the performance of [the strategy] will be measured. . . From 2036 onwards, emissions will decline in absolute terms to a range with a lower limit of 212 MtCO2e and an upper limSpit of 428 MtCO2e by 2050.”",No Quantified Long-term Emissions Goal Included in LTS,No Net-zero Target Included in LTS,No Net-zero Target Included in LTS,"""In the Paris Agreement, Parties collectively agree to limit 'the increase in the global average temperature to well below 2°C above pre-industrial levels, and pursue efforts to limit the temperature increase to 1.5°C above pre-industrial levels'.""<br>""Through submitting this document to the UNFCCC our country reiterates its commitment to achieving the Paris goals.""",Paris Agreement Temperature Goal Consistency Claimed in LTS,Target Type Not Applicable in LTS,Target Type Not Applicable in LTS,2050,2050 as Target Year in LTS,Not Applicable,"""Although this strategy focuses primarily on greenhouse gas emissions mitigation, the vulnerability to climate change impacts, as well as the need to build resilience to these impacts is noted, and will be further elaborated in future iterations of SA-LEDS. South Africa has already developed a National Climate Change Adaptation Strategy that highlights nine key vulnerability areas for the country.""",LTS Refers to Resiliency Goals in Separate Plan,Intention to Use Technological Carbon Removal Not Communicated in LTS,Intention to Use Technological Carbon Removal Not Communicated in LTS,1.07%
